rental_id,rental_date,return_date,customer_lastname,store_id,rental_store_city,film_title,film_rental_duration,film_rental_rate,film_replacement_cost,film_rating,have_coherence
48,2005-05-25 06:20:46,2005-06-02 05:42:46,CASTRO,1,Lethbridge,GUN BONNIE,7,0.99,27.99,G,True
49,2005-05-25 06:39:35,2005-05-30 10:12:35,SANBORN,1,Lethbridge,PACIFIC AMISTAD,3,0.99,27.99,G,True
50,2005-05-25 06:44:53,2005-05-28 11:28:53,GARCIA,2,Woodridge,HOPE TOOTSIE,4,2.99,22.99,NC-17,True
51,2005-05-25 06:49:10,2005-05-26 06:42:10,HOLLAND,1,Lethbridge,ELF MURDER,4,4.99,19.99,NC-17,True
52,2005-05-25 06:51:29,2005-05-31 01:27:29,RHOADS,1,Lethbridge,TALENTED HOMICIDE,6,0.99,9.99,PG,True
53,2005-05-25 07:19:16,2005-05-27 05:19:16,GARDINER,1,Lethbridge,ELEPHANT TROJAN,4,4.99,24.99,PG-13,True
54,2005-05-25 07:23:25,2005-06-01 05:05:25,HOLT,1,Lethbridge,MUSKETEERS WAIT,7,4.99,17.99,PG-13,True
55,2005-05-25 08:26:13,2005-05-30 10:57:13,HICKS,2,Woodridge,DREAM PICKUP,6,2.99,18.99,PG,True
56,2005-05-25 08:28:11,2005-05-26 14:21:11,BENNER,2,Woodridge,EYES DRIVING,4,2.99,20.99,PG-13,True
57,2005-05-25 08:43:32,2005-05-29 06:42:32,DAVIS,2,Woodridge,SUBMARINE BED,5,4.99,21.99,R,True
58,2005-05-25 08:53:14,2005-05-28 14:40:14,MAHAN,1,Lethbridge,PELICAN COMFORTS,4,4.99,17.99,PG,True
59,2005-05-25 08:56:42,2005-06-01 09:52:42,MURRELL,2,Woodridge,OCTOBER SUBMARINE,6,4.99,10.99,PG-13,True
60,2005-05-25 08:58:25,2005-05-30 14:14:25,ALLARD,2,Woodridge,BINGO TALENTED,5,2.99,22.99,PG-13,True
61,2005-05-25 09:01:57,2005-06-02 07:22:57,FOWLER,1,Lethbridge,TRUMAN CRAZY,7,4.99,9.99,G,True
62,2005-05-25 09:18:52,2005-05-30 10:55:52,CARBONE,2,Woodridge,BEACH HEARTBREAKERS,6,2.99,16.99,G,True
63,2005-05-25 09:19:16,2005-05-27 04:24:16,BALES,1,Lethbridge,SWEETHEARTS SUSPECTS,3,0.99,13.99,G,True
64,2005-05-25 09:21:29,2005-06-03 11:31:29,ARCE,2,Woodridge,ALLEY EVOLUTION,6,2.99,23.99,NC-17,True
65,2005-05-25 09:32:03,2005-05-29 14:21:03,SIMPKINS,2,Woodridge,SECRET GROUNDHOG,6,4.99,20.99,PG,True
66,2005-05-25 09:35:12,2005-05-29 04:16:12,LONG,2,Woodridge,DRUMLINE CYCLONE,3,0.99,14.99,G,True
67,2005-05-25 09:41:01,2005-05-27 13:46:01,MARSHALL,1,Lethbridge,BANGER PINOCCHIO,5,0.99,15.99,R,True
68,2005-05-25 09:47:31,2005-05-31 10:20:31,ORTIZ,2,Woodridge,TEEN APOLLO,3,4.99,25.99,G,True
69,2005-05-25 10:10:14,2005-05-27 14:02:14,MCCRARY,1,Lethbridge,PURPLE MOVIE,4,2.99,9.99,R,True
70,2005-05-25 10:15:23,2005-05-27 05:56:23,BROOKS,1,Lethbridge,INVASION CYCLONE,5,2.99,12.99,PG,True
71,2005-05-25 10:26:39,2005-05-28 04:59:39,HAYES,2,Woodridge,LOATHING LEGALLY,4,0.99,29.99,R,True
72,2005-05-25 10:52:13,2005-05-28 05:52:13,EVANS,1,Lethbridge,JUGGLER HARDLY,4,0.99,14.99,PG-13,True
73,2005-05-25 11:00:07,2005-06-01 13:56:07,GAMEZ,2,Woodridge,CAMELOT VACATION,3,0.99,26.99,NC-17,True
74,2005-05-25 11:09:48,2005-05-26 12:23:48,TERRY,2,Woodridge,GREEDY ROOTS,7,0.99,20.99,R,True
75,2005-05-25 11:13:34,2005-06-03 12:58:34,EASTER,1,Lethbridge,ROSES TREASURE,5,4.99,23.99,PG-13,True
76,2005-05-25 11:30:37,2005-06-03 12:00:37,SMITH,2,Woodridge,PATIENT SISTER,7,0.99,29.99,NC-17,True
77,2005-05-25 11:31:59,2005-05-26 16:53:59,REA,2,Woodridge,ENTRAPMENT SATISFACTION,5,0.99,19.99,R,True
78,2005-05-25 11:35:18,2005-05-31 12:48:18,MASON,1,Lethbridge,THIEF PELICAN,5,4.99,28.99,PG-13,True
79,2005-05-25 12:11:07,2005-06-03 10:54:07,DAY,2,Woodridge,RESERVOIR ADAPTATION,7,2.99,29.99,PG-13,True
80,2005-05-25 12:12:07,2005-05-31 17:46:07,LINTON,1,Lethbridge,MADIGAN DORADO,5,4.99,20.99,R,True
81,2005-05-25 12:15:19,2005-06-02 14:08:19,LUCAS,2,Woodridge,METROPOLIS COMA,4,2.99,9.99,PG-13,True
82,2005-05-25 12:17:46,2005-06-01 10:48:46,MCCARTNEY,2,Woodridge,FARGO GANDHI,3,2.99,28.99,G,True
83,2005-05-25 12:30:15,2005-05-27 15:40:15,HICKS,1,Lethbridge,BUCKET BROTHERHOOD,7,4.99,27.99,PG,True
84,2005-05-25 12:36:30,2005-05-29 18:33:30,KRAUS,2,Woodridge,HANKY OCTOBER,5,2.99,26.99,NC-17,True
85,2005-05-25 13:05:34,2005-05-29 16:53:34,RALSTON,2,Woodridge,BUCKET BROTHERHOOD,7,4.99,27.99,PG,True
86,2005-05-25 13:36:12,2005-05-30 14:53:12,HERRERA,2,Woodridge,JUMPING WRATH,4,0.99,18.99,NC-17,True
87,2005-05-25 13:52:43,2005-05-29 11:12:43,ROBERT,2,Woodridge,GANDHI KWAI,7,0.99,9.99,PG-13,True
88,2005-05-25 14:13:54,2005-05-29 09:32:54,MORRIS,2,Woodridge,JEEPERS WEDDING,3,2.99,29.99,R,True
89,2005-05-25 14:28:29,2005-05-29 14:33:29,OUTLAW,2,Woodridge,ISLAND EXORCIST,7,2.99,23.99,NC-17,True
90,2005-05-25 14:31:25,2005-06-01 10:07:25,WALKER,2,Woodridge,PANKY SUBMARINE,4,4.99,19.99,G,True
91,2005-05-25 14:57:22,2005-06-01 18:32:22,WADE,1,Lethbridge,ANTHEM LUKE,5,4.99,16.99,PG-13,True
92,2005-05-25 15:38:46,2005-05-31 13:40:46,SILVERMAN,2,Woodridge,COMFORTS RUSH,3,2.99,19.99,NC-17,True
93,2005-05-25 15:54:16,2005-06-03 20:18:16,CRAIG,1,Lethbridge,VOYAGE LEGALLY,6,0.99,28.99,PG-13,True
94,2005-05-25 16:03:42,2005-05-30 14:23:42,PETERS,1,Lethbridge,GOLDFINGER SENSIBILITY,3,0.99,29.99,G,True
95,2005-05-25 16:12:52,2005-06-02 18:55:52,HARDISON,2,Woodridge,ARMAGEDDON LOST,5,0.99,10.99,G,True
96,2005-05-25 16:32:19,2005-05-30 10:47:19,EDWARDS,2,Woodridge,RUGRATS SHAKESPEARE,4,0.99,16.99,PG-13,True
97,2005-05-25 16:34:24,2005-05-28 12:13:24,HOPKINS,1,Lethbridge,ENEMY ODDS,5,4.99,23.99,NC-17,True
98,2005-05-25 16:48:24,2005-05-27 11:29:24,WALTERS,1,Lethbridge,PACKER MADIGAN,3,0.99,20.99,PG-13,True
99,2005-05-25 16:50:20,2005-05-28 18:52:20,TURNER,1,Lethbridge,CANDLES GRAPES,6,4.99,15.99,NC-17,True
100,2005-05-25 16:50:28,2005-06-02 22:11:28,WHEELER,1,Lethbridge,METAL ARMAGEDDON,6,2.99,26.99,PG-13,True
101,2005-05-25 17:17:04,2005-05-31 19:47:04,CARY,2,Woodridge,CHAMPION FLATLINERS,4,4.99,21.99,PG,True
102,2005-05-25 17:22:10,2005-05-31 19:47:10,GRAF,1,Lethbridge,BLOOD ARGONAUTS,3,0.99,13.99,G,True
103,2005-05-25 17:30:42,2005-06-03 22:36:42,STEPP,1,Lethbridge,ROBBERS JOON,7,2.99,26.99,PG-13,True
104,2005-05-25 17:46:33,2005-05-27 15:20:33,CABRAL,1,Lethbridge,VALLEY PACKER,3,0.99,21.99,G,True
105,2005-05-25 17:54:12,2005-05-30 12:03:12,COLE,2,Woodridge,CONFESSIONS MAGUIRE,7,4.99,25.99,PG-13,True
106,2005-05-25 18:18:19,2005-06-04 00:01:19,AUSTIN,2,Woodridge,SHOW LORD,3,4.99,24.99,PG-13,True
107,2005-05-25 18:28:09,2005-06-03 22:46:09,BAUGH,2,Woodridge,NETWORK PEAK,5,2.99,23.99,PG-13,True
108,2005-05-25 18:30:05,2005-05-30 19:40:05,FRAZIER,2,Woodridge,REMEMBER DIARY,5,2.99,15.99,R,True
109,2005-05-25 18:40:20,2005-05-29 20:39:20,BARCLAY,1,Lethbridge,DISCIPLE MOTHER,3,0.99,17.99,PG,True
110,2005-05-25 18:43:49,2005-06-03 18:13:49,MARTINEZ,2,Woodridge,TITANS JERK,4,4.99,11.99,PG-13,True
111,2005-05-25 18:45:19,2005-05-28 17:18:19,BURTON,2,Woodridge,SNATCH SLIPPER,6,4.99,20.99,PG,True
112,2005-05-25 18:57:24,2005-06-02 20:44:24,KINDER,2,Woodridge,INTERVIEW LIAISONS,4,4.99,17.99,R,True
113,2005-05-25 19:07:40,2005-05-27 22:16:40,FOSTER,2,Woodridge,OZ LIAISONS,4,2.99,14.99,R,True
114,2005-05-25 19:12:42,2005-06-01 23:10:42,SEWARD,2,Woodridge,WOMEN DORADO,4,0.99,23.99,R,True
115,2005-05-25 19:13:25,2005-05-29 20:17:25,WILES,1,Lethbridge,COAST RAINBOW,4,0.99,20.99,PG,True
116,2005-05-25 19:27:51,2005-05-26 16:23:51,GARCIA,1,Lethbridge,WIFE TURN,3,4.99,27.99,NC-17,True
117,2005-05-25 19:30:46,2005-05-31 23:59:46,MILLER,2,Woodridge,VALENTINE VANISHING,7,0.99,9.99,PG-13,True
118,2005-05-25 19:31:18,2005-05-31 15:00:18,ELY,2,Woodridge,CROOKED FROGMEN,6,0.99,27.99,PG-13,True
119,2005-05-25 19:37:02,2005-05-29 23:51:02,STEWART,1,Lethbridge,FALCON VOLUME,5,4.99,21.99,PG-13,True
120,2005-05-25 19:37:47,2005-06-01 23:29:47,SCHWARZ,2,Woodridge,AIRPORT POLLOCK,6,4.99,15.99,R,True
121,2005-05-25 19:41:29,2005-05-29 21:31:29,SCHOFIELD,2,Woodridge,DISTURBING SCARFACE,6,2.99,20.99,PG-13,True
122,2005-05-25 19:46:21,2005-06-02 19:07:21,LOWE,2,Woodridge,OPERATION OPERATION,7,2.99,23.99,PG-13,True
123,2005-05-25 20:26:42,2005-05-26 19:41:42,ROBERTS,1,Lethbridge,GUYS FALCON,4,4.99,20.99,R,True
124,2005-05-25 20:46:11,2005-05-30 00:47:11,MENDOZA,1,Lethbridge,BACKLASH UNDEFEATED,3,4.99,24.99,PG-13,True
125,2005-05-25 20:48:50,2005-06-02 21:39:50,ARCE,1,Lethbridge,DARN FORRESTER,7,4.99,14.99,G,True
126,2005-05-25 21:07:59,2005-05-28 18:51:59,FENNELL,1,Lethbridge,HYDE DOCTOR,5,2.99,11.99,G,True
127,2005-05-25 21:10:40,2005-06-02 21:38:40,GONZALES,2,Woodridge,HUNGER ROOF,6,0.99,21.99,G,True
128,2005-05-25 21:19:53,2005-05-29 23:34:53,CARTER,2,Woodridge,VIDEOTAPE ARSENIC,4,4.99,10.99,NC-17,True
129,2005-05-25 21:20:03,2005-06-04 01:25:03,LEWIS,1,Lethbridge,TRADING PINOCCHIO,6,4.99,22.99,PG,True
130,2005-05-25 21:21:56,2005-05-30 22:41:56,COOK,2,Woodridge,SUSPECTS QUILLS,4,2.99,22.99,PG,True
131,2005-05-25 21:42:46,2005-05-30 23:25:46,BUNN,2,Woodridge,CONNECTICUT TRAMP,4,4.99,20.99,PG-13,True
132,2005-05-25 21:46:54,2005-05-31 21:02:54,HITE,2,Woodridge,ROCKETEER MOTHER,3,0.99,27.99,PG-13,True
133,2005-05-25 21:48:30,2005-05-30 00:26:30,GILBERT,1,Lethbridge,BORROWERS BEDAZZLED,7,0.99,22.99,G,True
134,2005-05-25 21:48:41,2005-06-02 18:28:41,HANSEN,2,Woodridge,JUMPING WRATH,4,0.99,18.99,NC-17,True
135,2005-05-25 21:58:58,2005-06-03 17:50:58,ROYAL,1,Lethbridge,AMERICAN CIRCUS,3,4.99,17.99,R,True
136,2005-05-25 22:02:30,2005-05-31 18:06:30,ADAM,1,Lethbridge,KISS GLORY,5,4.99,11.99,PG-13,True
137,2005-05-25 22:25:18,2005-06-01 02:30:18,ARCHULETA,1,Woodridge,MENAGERIE RUSHMORE,7,2.99,18.99,G,True
138,2005-05-25 22:48:22,2005-05-29 20:21:22,STCLAIR,1,Lethbridge,TOURIST PELICAN,4,4.99,18.99,PG-13,True
139,2005-05-25 23:00:21,2005-05-29 17:12:21,DOUGLAS,1,Lethbridge,BINGO TALENTED,5,2.99,22.99,PG-13,True
140,2005-05-25 23:34:22,2005-05-27 01:10:22,NGO,1,Lethbridge,CHICKEN HELLFIGHTERS,3,0.99,24.99,PG,True
141,2005-05-25 23:34:53,2005-06-02 01:57:53,FLORES,2,Woodridge,CONGENIALITY QUEST,6,0.99,21.99,PG-13,True
142,2005-05-25 23:43:47,2005-05-29 00:46:47,ROBINS,2,Woodridge,WATCH TRACY,5,0.99,12.99,PG,True
143,2005-05-25 23:45:52,2005-05-27 21:41:52,RHODES,1,Lethbridge,CRAFT OUTFIELD,6,0.99,17.99,NC-17,True
144,2005-05-25 23:49:56,2005-06-01 21:41:56,RICO,1,Lethbridge,GONE TROUBLE,7,2.99,20.99,PG-13,True
145,2005-05-25 23:59:03,2005-05-31 02:56:03,COLEMAN,1,Lethbridge,STRANGELOVE DESIRE,4,0.99,27.99,NC-17,True
146,2005-05-26 00:07:11,2005-06-04 00:20:11,BONE,1,Lethbridge,FIDELITY DEVIL,5,4.99,11.99,G,True
147,2005-05-26 00:17:50,2005-05-29 23:21:50,JENNINGS,1,Lethbridge,CHARIOTS CONSPIRACY,5,2.99,29.99,R,True
148,2005-05-26 00:25:23,2005-06-01 19:29:23,BURNS,2,Woodridge,UNFORGIVEN ZOOLANDER,7,0.99,15.99,PG,True
149,2005-05-26 00:28:05,2005-06-02 21:30:05,WEINER,1,Lethbridge,DOOM DANCING,4,0.99,13.99,R,True
150,2005-05-26 00:28:39,2005-06-01 02:10:39,ISBELL,1,Lethbridge,DADDY PITTSBURGH,5,4.99,26.99,G,True
151,2005-05-26 00:37:28,2005-05-30 06:28:28,WHITE,1,Lethbridge,OUTBREAK DIVINE,6,0.99,12.99,NC-17,True
152,2005-05-26 00:41:10,2005-06-03 06:05:10,MORGAN,1,Lethbridge,MIDSUMMER GROUNDHOG,3,4.99,27.99,PG-13,True
153,2005-05-26 00:47:47,2005-05-27 21:28:47,QUINTANILLA,2,Woodridge,STORM HAPPINESS,6,0.99,28.99,PG-13,True
154,2005-05-26 00:55:56,2005-05-29 23:18:56,HARPER,1,Lethbridge,FACTORY DRAGON,4,0.99,9.99,PG-13,True
155,2005-05-26 01:15:05,2005-06-01 00:03:05,BARBEE,2,Woodridge,BEHAVIOR RUNAWAY,3,4.99,20.99,PG,True
156,2005-05-26 01:19:05,2005-05-27 23:43:05,SHERROD,1,Lethbridge,PULP BEVERLY,4,2.99,12.99,G,True
157,2005-05-26 01:25:21,2005-05-26 21:17:21,BILLINGSLEY,1,Lethbridge,CRUSADE HONEY,4,2.99,27.99,R,True
158,2005-05-26 01:27:11,2005-06-03 00:30:11,NGO,1,Lethbridge,LIGHTS DEER,7,0.99,21.99,R,True
159,2005-05-26 01:34:28,2005-05-29 04:00:28,ABNEY,1,Lethbridge,SAGEBRUSH CLUELESS,4,2.99,28.99,G,True
160,2005-05-26 01:46:20,2005-06-01 05:45:20,CHAMBERS,2,Woodridge,HEAVEN FREEDOM,7,2.99,19.99,PG,True
161,2005-05-26 01:51:48,2005-05-27 05:42:48,LANE,1,Lethbridge,OUTBREAK DIVINE,6,0.99,12.99,NC-17,True
162,2005-05-26 02:02:05,2005-05-27 03:38:05,HALE,1,Lethbridge,EDGE KISSING,5,4.99,9.99,NC-17,True
163,2005-05-26 02:26:23,2005-06-04 06:36:23,GRAHAM,1,Lethbridge,KISSING DOLLS,3,4.99,9.99,R,True
164,2005-05-26 02:26:49,2005-05-28 00:32:49,PALMER,1,Lethbridge,DOGMA FAMILY,5,4.99,16.99,G,True
165,2005-05-26 02:28:36,2005-06-02 03:21:36,HILL,1,Lethbridge,MOTIONS DETAILS,5,0.99,16.99,PG,True
166,2005-05-26 02:49:11,2005-05-31 01:28:11,MORRISSEY,2,Woodridge,STORY SIDE,7,0.99,27.99,R,True
167,2005-05-26 02:50:31,2005-05-27 03:07:31,CARRANZA,2,Woodridge,CREEPERS KANE,5,4.99,20.99,NC-17,True
168,2005-05-26 03:07:43,2005-06-02 02:09:43,BULL,2,Woodridge,MOON BUNCH,7,0.99,20.99,PG,True
169,2005-05-26 03:09:30,2005-05-27 01:37:30,BOUDREAU,1,Lethbridge,GRIT CLOCKWORK,3,0.99,21.99,PG,True
170,2005-05-26 03:11:12,2005-06-02 03:53:12,WOODS,2,Woodridge,SLEEPY JAPANESE,4,2.99,25.99,PG,True
171,2005-05-26 03:14:15,2005-06-03 00:24:15,HARDISON,2,Woodridge,WITCHES PANIC,6,4.99,10.99,NC-17,True
172,2005-05-26 03:17:42,2005-05-29 04:11:42,CARROLL,2,Woodridge,NOTTING SPEAKEASY,7,0.99,19.99,PG-13,True
173,2005-05-26 03:42:10,2005-05-28 01:37:10,MILAM,1,Lethbridge,SHEPHERD MIDSUMMER,7,0.99,14.99,R,True
174,2005-05-26 03:44:10,2005-05-28 07:13:10,WALDROP,2,Woodridge,SUMMER SCARFACE,5,0.99,20.99,G,True
175,2005-05-26 03:46:26,2005-06-03 06:01:26,PARKER,1,Lethbridge,VISION TORQUE,5,0.99,16.99,PG-13,True
176,2005-05-26 03:47:39,2005-06-01 02:36:39,FOWLER,2,Woodridge,CRANES RESERVOIR,5,2.99,20.99,NC-17,True
177,2005-05-26 04:14:29,2005-06-01 08:16:29,CORNISH,1,Lethbridge,SEATTLE EXPECATIONS,4,4.99,18.99,PG-13,True
178,2005-05-26 04:21:46,2005-06-04 07:09:46,AUSTIN,2,Woodridge,FLYING HOOK,6,2.99,18.99,NC-17,True
179,2005-05-26 04:26:06,2005-06-03 10:06:06,MARTINEZ,2,Woodridge,MASSACRE USUAL,6,4.99,16.99,R,True
180,2005-05-26 04:46:23,2005-06-01 09:58:23,SANDERS,2,Woodridge,MOVIE SHAKESPEARE,6,4.99,27.99,PG,True
181,2005-05-26 04:47:06,2005-05-29 06:34:06,STANFIELD,2,Woodridge,LOLA AGENT,4,4.99,24.99,PG-13,True
182,2005-05-26 04:49:17,2005-06-01 05:43:17,GILBERT,1,Lethbridge,WASH HEAVENLY,7,4.99,22.99,PG-13,True
183,2005-05-26 05:01:18,2005-06-01 09:04:18,SILVA,1,Lethbridge,NOVOCAINE FLIGHT,4,0.99,11.99,PG-13,True
184,2005-05-26 05:29:49,2005-05-28 10:10:49,GRUBER,2,Woodridge,HONEY TIES,3,0.99,29.99,R,True
185,2005-05-26 05:30:03,2005-06-02 09:48:03,WEBB,1,Lethbridge,METAL ARMAGEDDON,6,2.99,26.99,PG-13,True
186,2005-05-26 05:32:52,2005-06-03 07:19:52,CARY,1,Lethbridge,HALF OUTFIELD,6,2.99,25.99,PG-13,True
187,2005-05-26 05:42:37,2005-06-04 00:38:37,RAPP,2,Woodridge,SWEET BROTHERHOOD,3,2.99,27.99,PG-13,True
188,2005-05-26 05:47:12,2005-05-26 23:48:12,BURKE,2,Woodridge,ROAD ROXANNE,4,4.99,12.99,R,True
189,2005-05-26 06:01:41,2005-05-27 06:11:41,MORENO,1,Lethbridge,DEEP CRUSADE,6,4.99,20.99,PG-13,True
190,2005-05-26 06:11:28,2005-06-01 09:44:28,MILAM,2,Woodridge,SUN CONFESSIONS,5,0.99,9.99,R,True
191,2005-05-26 06:14:06,2005-05-28 05:33:06,BUTTERFIELD,2,Woodridge,VOYAGE LEGALLY,6,0.99,20.99,PG-13,True
192,2005-05-26 06:20:37,2005-06-02 10:57:37,NEUMANN,1,Lethbridge,HEDWIG ALTER,7,2.99,16.99,NC-17,True
193,2005-05-26 06:41:48,2005-05-30 06:21:48,CURTIS,2,Woodridge,STRAIGHT HOURS,3,0.99,19.99,R,True
194,2005-05-26 06:52:33,2005-05-30 04:08:33,HERNANDEZ,1,Lethbridge,EXPENDABLE STALLION,3,0.99,14.99,PG,True
195,2005-05-26 06:52:36,2005-05-31 02:47:36,PFEIFFER,2,Woodridge,CALENDAR GUNFIGHT,4,4.99,22.99,NC-17,True
196,2005-05-26 06:55:58,2005-05-27 10:54:58,RUIZ,1,Lethbridge,ATLANTIS CAUSE,6,2.99,15.99,G,True
197,2005-05-26 06:59:21,2005-06-03 05:04:21,KNOTT,2,Woodridge,TRUMAN CRAZY,7,4.99,9.99,G,True
198,2005-05-26 07:03:49,2005-06-04 11:45:49,ROGERS,2,Woodridge,GUNFIGHT MOON,5,0.99,20.99,NC-17,True
